DATE,barley,maize,soy,wheat
1999-12-01,72.3570337688783,87.2228376839286,169.95658625,90.4373465217391
2000-01-01,73.1332776600664,92.9532749553571,180.3836524875,93.6228626666666
2000-02-01,73.3645812105156,95.0816190401786,185.75795535,98.1668294444444
2000-03-01,74.3986754517413,95.1693511057143,190.97148846875,96.3962107246377
2000-04-01,76.9534601816919,95.5393729517857,197.1037058375,94.4312233333333
2000-05-01,78.2569709729733,95.5305508928571,200.8703112625,99.1120469565218
2000-06-01,78.4832093233816,84.0395145034014,186.952244875,103.366615
2000-07-01,78.6813365271406,75.057375212585,169.497244125,97.1257588888889
2000-08-01,75.1326738466872,75.2405311428571,167.86657958125,96.6518188405797
2000-09-01,73.2083139883055,80.150576268797,180.45255380625,103.44217015873
2000-10-01,76.1470229829682,84.7072744047619,173.60835614375,107.775855
2000-11-01,82.4630665379715,88.9371078282313,177.19122471875,105.036781666667
2000-12-01,86.5957555668947,96.2242037593985,185.96465930625,113.740020166667
2001-01-01,85.7532515051725,94.2972332706767,175.4227575375,109.479425
2001-02-01,82.3078945638598,92.3775148214285,167.45317166875,103.323190666667
2001-03-01,83.0743035663541,91.0121535714286,164.37557943125,105.571235
2001-04-01,84.7196450699523,87.5450665178572,158.6108357625,106.154202698413
2001-05-01,89.7266151409977,85.0775230867347,163.87030309375,110.774167246377
2001-06-01,95.0570716347415,83.1606659863946,170.232191525,109.426138730159
2001-07-01,101.977402781508,90.7546695436508,186.65367249375,108.343711666667
2001-08-01,99.3919758041668,92.8790316381988,182.74926443125,104.224209275362
2001-09-01,99.6094490150679,89.7439884868421,172.3451653,103.176216
2001-10-01,101.788001837646,86.2677391304348,160.6319411125,104.831278550725
2001-11-01,100.96791884888,89.8825542410714,162.5611780375,106.801591111111
2001-12-01,102.86016439578,92.3115151680672,160.14963188125,104.370385166667
2002-01-01,99.271779717199,91.9669605867347,160.05776345625,106.189196666667
2002-02-01,99.0109763866696,90.728193843985,160.19556609375,103.837602
2002-03-01,98.9521307095644,89.8579491071429,168.69339540625,102.551573666667
2002-04-01,95.8237328513546,87.1066477678571,171.35757973125,104.802958333333
2002-05-01,97.5469534176339,90.3313050170068,176.64001416875,104.096405217391
2002-06-01,104.110300310345,93.1698001339286,185.36751454375,115.411857
2002-07-01,114.227517813685,99.7000026785715,209.0925353,132.644636666667
2002-08-01,120.986561555999,109.891001785714,208.2197852625,149.61353
2002-09-01,119.74805148798,113.941454196429,208.2197852625,173.342621746032
2002-10-01,120.613861382578,109.64680993323,200.08942965,180.043966666667
2002-11-01,120.130508531619,108.646429375,210.21792350625,164.279183968254
2002-12-01,117.186855037045,107.012648482143,208.24275236875,149.195988333333
2003-01-01,113.704404668652,105.844256122449,208.67359625,140.483285555556
2003-02-01,114.151664366899,106.141079960317,209.613139105263,141.656504385965
2003-03-01,113.653472899142,105.131878911565,210.22208075,129.2458475
2003-04-01,114.589279410936,105.338093367347,221.70886125,126.048273650794
2003-05-01,115.496101242305,107.906400680272,232.412651,131.052411111111
2003-06-01,111.484852215879,107.02530255102,229.77497825,118.157133809524
2003-07-01,96.6193293375373,97.6706649659864,214.0320525,115.775953333333
2003-08-01,88.0703868769148,100.349578214286,208.21867425,133.484491904762
2003-09-01,90.6313970354304,103.238455272109,231.69964825,130.64998047619
2003-10-01,95.696480803033,104.205951552795,268.987847282609,130.056604492754
2003-11-01,101.746416714332,108.10048487395,279.721085644737,141.347084035088
2003-12-01,100.766726286682,111.992209586466,283.185366068182,145.067495396825
2004-01-01,98.5483089778838,116.245588293651,300.8987522625,147.289612380952
2004-02-01,95.5673766069196,122.932429135338,316.551810197368,141.733859473684
2004-03-01,103.029470059649,128.460194875776,360.675360423913,142.548725
2004-04-01,112.531128357598,133.439499659864,363.50454925,146.064823492064
2004-05-01,111.559518338306,129.285215714286,347.87097975,143.184267368421
2004-06-01,114.04805049381,123.278751020408,320.229696340909,136.86140984127
2004-07-01,103.969350414106,104.49448877551,289.785314,132.387431
2004-08-01,87.7722919755341,104.0931375,225.7900365,122.05578
2004-09-01,85.3714688083837,97.7269052721088,206.447103,126.8207655
2004-10-01,87.8883844395501,93.4151484693877,193.43370925,123.056289365079
2004-11-01,95.5333377094733,93.7585103383459,195.8176755,127.133086666667
2004-12-01,92.0438849058409,95.6085204081633,198.59095,123.554573043478
2005-01-01,90.7148026752963,96.03875875,195.6647954625,122.778962166667
2005-02-01,87.3756336221018,94.3593936090225,197.58924675,123.129960877193
2005-03-01,94.1686419754265,100.014011054422,233.180530704545,129.955668333333
2005-04-01,93.3272375466296,96.4708717687075,228.7645265,120.064305079365
2005-05-01,88.8948334494037,95.364812414966,233.462471,119.154461904762
2005-06-01,93.4435281482598,97.6152767857143,254.742401931818,122.473321666667
2005-07-01,96.8053386851054,105.664287142857,253.3478115,130.164439166667
2005-08-01,98.0039678806298,99.2866364285714,230.426931684783,131.558302173913
2005-09-01,97.8922514687879,97.0707683673469,212.01552325,137.386319365079
2005-10-01,98.5255883300402,101.551246088435,211.16691875,143.072839206349
2005-11-01,98.7598181108001,95.9797064285714,210.9000895,136.353997301587
2005-12-01,103.013908233165,102.676052210884,216.542872,139.99337
2006-01-01,103.60208371588,102.7904075,214.0090876875,144.5679565
2006-02-01,101.134038677782,106.936502067669,214.365646618421,158.887350175439
2006-03-01,100.37584468833,104.952080357143,212.714071956522,155.793146666667
2006-04-01,102.12456177219,107.910347368421,208.902438592105,161.208002807018
2006-05-01,107.475568113128,110.624682142857,217.355687181818,176.603423333333
2006-06-01,106.882385503082,109.612356632653,216.503901409091,176.920755
2006-07-01,112.098487409578,114.305610178571,217.2517192125,181.348366833333
2006-08-01,114.530665277422,115.277289285714,203.84366351087,165.129378333333
2006-09-01,115.444588452313,120.269894642857,199.307014725,164.942319666667
2006-10-01,136.597464104903,142.262410714286,217.885965579545,182.432305
2006-11-01,148.147875583964,164.10640125,244.00003925,182.301077619048
2006-12-01,150.967578738806,160.720734821429,243.307595475,179.529555333333
2007-01-01,152.132686233564,165.160018984962,255.8673795,172.5666305
2007-02-01,151.031916885133,177.384885526316,278.038610960526,175.26729
2007-03-01,157.057788347874,169.583269727891,276.959814170455,173.313195
2007-04-01,157.11700365884,152.630566785714,270.3922953375,178.555848166667
2007-05-01,161.689434202992,160.139158928571,283.206243170455,178.006363333333
2007-06-01,184.448762930341,164.537264484127,302.8293275,206.516903650794
2007-07-01,177.907705305571,147.216401315789,313.476252,222.001734603175
2007-08-01,158.883357085981,151.030785714286,309.00652923913,240.686992173913
2007-09-01,184.655657962729,160.125031578947,347.561559118421,297.952459122807
2007-10-01,197.107266403113,164.114103726708,358.402842456522,303.630490724638
2007-11-01,187.60857281633,171.113943392857,389.01517525,286.495618095238
2007-12-01,198.934455693148,180.283263655462,423.0807406875,339.225695925926
2008-01-01,205.608193018944,206.558804323308,461.71521025,336.117065079365
2008-02-01,216.538316483655,220.047597744361,508.2158935875,393.873734833333
2008-03-01,228.662963033725,233.925929285714,495.69088485,403.812896666667
2008-04-01,237.240502415849,246.6418625,482.791340897727,326.851616666667
2008-05-01,238.314584627995,243.531773571429,489.08926675,288.420286349206
2008-06-01,240.979643418651,287.132070892857,552.47214925,314.15835
2008-07-01,248.309560001946,267.141454081633,554.149276465909,299.42748
2008-08-01,212.315247086002,235.159466666667,471.06735675,304.164072666667
2008-09-01,189.434920314629,233.945613392857,433.383193,263.049659365079
2008-10-01,143.998090032153,183.024702891156,338.78490176087,202.774935
2008-11-01,130.155734721562,164.304400210084,329.136527447368,194.114629607843
2008-12-01,114.15620919258,158.909796964286,318.814228806818,188.84494968254
2009-01-01,121.60503185562,173.295129931973,364.7179662,211.276083333333
2009-02-01,112.570223789403,163.399960515873,341.271617842105,195.224902631579
2009-03-01,114.938495703893,164.577030357143,333.657848522727,199.100568333333
2009-04-01,111.019714801715,168.795905442177,374.46641975,200.887646666667
2009-05-01,129.385512549277,180.070212142857,422.3550526125,227.186091
2009-06-01,148.684454553493,179.393794642857,445.108171295455,227.314693833333
2009-07-01,139.959464348904,151.800255357143,398.088761556818,195.325991666667
2009-08-01,122.302633925946,152.036294217687,408.957381,179.554051111111
2009-09-01,103.529574471217,150.592793027211,349.05202725,156.930450634921
